gloss_sequence,vietnamese_sentence
thang chi bi dau_chan,Tháng chị bị đau chân.
benh_nhan di giuong,Bệnh nhân đi giường.
buoi_trua ban dang chay,Buổi trưa bạn đang chạy.
toi_nay chi hoc_bai,Tối nay chị học bài.
buoi_trua em bi dau_hong,Buổi trưa em bị đau họng.
ong can ba_muoi chao,Ông cần ba mươi cháo.
buoi_sang bo bi dau_lung,Buổi sáng bố bị đau lưng.
me can hai_muoi tivi,Mẹ cần hai mươi ti vi.
benh_nhan thich trai_cay,Bệnh nhân thích trái cây.
buoi_sang ong dang di_cho,Buổi sáng ông đang đi chợ.
ong den van_phong,Ông đến văn phòng.
thu_bay ba bi dau_hong,Thứ bảy bà bị đau họng.
co se noi,Cô sẽ nói.
me muon mua vo,Mẹ muốn mua vở.
thu_tu bo nghe,Thứ tư bố nghe.
kinh_lup nong,Kính lúp nóng.
hom_qua chung_toi dang xem,Hôm qua chúng tôi đang xem.
mua_dong chung_toi bi chong_mat,Mùa đông chúng tôi bị chóng mặt.
buoi_toi bo se di lop_hoc,Buổi tối bố sẽ đi lớp học.
bo muon mua ao,Bố muốn mua áo.
hom_nay ba dang lam_viec,Hôm nay bà đang làm việc.
toi_nay co xem,Tối nay cô xem.
co muon di cong_ty,Cô muốn đi công ty.
thu_hai toi di_hoc,Thứ hai tôi đi học.
mua_he ban dang lam_viec,Mùa hè bạn đang làm việc.
ngay ba dang choi,Ngày bà đang chơi.
bay_gio thay_giao dang viet,Bây giờ thầy giáo đang viết.
chi khong_thich chao,Chị không thích cháo.
anh bi dau_hong nen can thuoc,Anh bị đau họng nên cần thuốc.
con_gai thich ao,Con gái thích áo.
me muon mua thit,Mẹ muốn mua thịt.
chi cam_thay kho_rao,Chị cảm thấy khô ráo.
lam_on goi sach giup toi,Làm ơn gọi sách giúp tôi.
buoi_chieu bo di_hoc,Buổi chiều bố đi học.
co thich ghe,Cô thích ghế.
buoi_chieu thay_giao lam_bai_tap,Buổi chiều thầy giáo làm bài tập.
hom_qua ban bi buon_non,Hôm qua bạn bị buồn nôn.
em muon mua den,Em muốn mua đèn.
thu_nam ong dang noi,Thứ năm ông đang nói.
ba_lo mau_nau,Ba lô màu nâu.
hom_qua me se di nha_thuoc,Hôm qua mẹ sẽ đi nhà thuốc.
thay_giao can keo khong,Thầy giáo có cần kẹo không?
hom_qua chung_toi dang hoc_bai,Hôm qua chúng tôi đang học bài.
chi thich nghi_ngoi,Chị thích nghỉ ngơi.
hom_nay ong se di benh_vien,Hôm nay ông sẽ đi bệnh viện.
mua_he chung_toi bi ho,Mùa hè chúng tôi bị ho.
mua_dong thay_giao dang nghe,Mùa đông thầy giáo đang nghe.
ban dang hoc_bai,Bạn đang học bài.
me dang nghi,Mẹ đang nghỉ.
ban muon ba banh_mi,Bạn muốn ba bánh mì.
me di ben_xe,Mẹ đi bến xe.
buoi_sang co_giao bi cam_lanh,Buổi sáng cô giáo bị cảm lạnh.
ong dang nghi,Ông đang nghỉ.
ngay_mai con_trai bi dau_dau,Ngày mai con trai bị đau đầu.
thang co_giao dang nau_an,Tháng cô giáo đang nấu ăn.
me can mot_tram banh_mi,Mẹ cần một trăm bánh mì.
ngay_mai anh dang tam,Ngày mai anh đang tắm.
chi tim cua,Chị tìm cửa.
ong muon nam sua,Ông muốn năm sữa.
thay_giao dang viet,Thầy giáo đang viết.
nam bo dang choi,Năm bố đang chơi.
mua_dong con_gai dang nau_an,Mùa đông con gái đang nấu ăn.
nam chung_toi dang nghi,Năm chúng tôi đang nghỉ.
buoi_trua co_giao bi bi_thuong,Buổi trưa cô giáo bị bị thương.
ong can chin chao,Ông cần chín cháo.
hom_nay bo dang lam_bai_tap,Hôm nay bố đang làm bài tập.
cua yen_tinh,Cửa yên tĩnh.
thu_sau bo nghe,Thứ sáu bố nghe.
thu_bay toi ngu,Thứ bảy tôi ngủ.
benh_nhan thich quan,Bệnh nhân thích quần.
chu_nhat ba dang di_hoc,Chủ nhật bà đang đi học.
mua_he toi hoc_bai,Mùa hè tôi học bài.
chi muon hai banh_mi,Chị muốn hai bánh mì.
buoi_toi anh dang giat_do,Buổi tối anh đang giặt đồ.
ban mat may_tinh,Bạn mất máy tính.
toi_nay me lam_bai_tap,Tối nay mẹ làm bài tập.
nam toi bi dau_hong,Năm tôi bị đau họng.
mua_he ong dang chay,Mùa hè ông đang chạy.
mua_dong nguoi_khiem_thinh bi dau_bung,Mùa đông người khiếm thính bị đau bụng.
ban thich dong_ho,Bạn thích đồng hồ.
ngay_mai ba dang an,Ngày mai bà đang ăn.
anh muon xe_cuu_thuong,Anh muốn xe cứu thương.
buoi_chieu toi se di nha_thuoc,Buổi chiều tôi sẽ đi nhà thuốc.
thang ong bi dau_tay,Tháng ông bị đau tay.
ong muon tam chao,Ông muốn tám cháo.
chung_toi di ghe,Chúng tôi đi ghế.
vui_long dua xe_cuu_thuong cho toi,Vui lòng đưa xe cứu thương cho tôi.
thu_hai con_gai bi dau,Thứ hai con gái bị đau.
gia_dinh cam_thay met,Gia đình cảm thấy mệt.
chi bi dau_lung nen can goi_y_ta,Chị bị đau lưng nên cần gọi y tá.
ban cam_thay dau_hong,Bạn cảm thấy đau họng.
me muon mua noi_com_dien,Mẹ muốn mua nồi cơm điện.
thu_hai bo se di nha,Thứ hai bố sẽ đi nhà.
ban muon ba_muoi den,Bạn muốn ba mươi đèn.
ngay_mai con_gai dang xem,Ngày mai con gái đang xem.
thu_sau anh bi dau_bung,Thứ sáu anh bị đau bụng.
chi muon ba_muoi nuoc,Chị muốn ba mươi nước.
toi_nay ban dang ngu,Tối nay bạn đang ngủ.
buoi_chieu bo dang mua_sam,Buổi chiều bố đang mua sắm.
me muon pho o benh_vien,Mẹ muốn phở ở bệnh viện.
ba di nha_thuoc,Bà đi nhà thuốc.
co muon di benh_vien,Cô muốn đi bệnh viện.
bay_gio chung_toi bi bi_thuong,Bây giờ chúng tôi bị bị thương.
toi_nay bo xem,Tối nay bố xem.
thu_tu chung_toi bi chong_mat,Thứ tư chúng tôi bị chóng mặt.
em o nha_ga,Em ở nhà ga.
chu_nhat co dang hoc_bai,Chủ nhật cô đang học bài.
buoi_sang thay_giao dang di_bo,Buổi sáng thầy giáo đang đi bộ.
thang co dang rua_tay,Tháng cô đang rửa tay.
mua_dong chi dang doc_sach,Mùa đông chị đang đọc sách.
thang em bi buon_non,Tháng em bị buồn nôn.
hom_nay nguoi_khiem_thinh bi di_ung,Hôm nay người khiếm thính bị dị ứng.
thu_nam co dang lam_viec,Thứ năm cô đang làm việc.
hom_nay thay_giao dang viet,Hôm nay thầy giáo đang viết.
mua_dong me lam_viec,Mùa đông mẹ làm việc.
anh cam_thay nong,Anh cảm thấy nóng.
thu_ba nguoi_khiem_thinh bi dau_lung,Thứ ba người khiếm thính bị đau lưng.
co can banh,Cô cần bánh.
co_giao di lop_hoc,Cô giáo đi lớp học.
thu_bay thay_giao dang an,Thứ bảy thầy giáo đang ăn.
thang em dang di_cho,Tháng em đang đi chợ.
em can ba banh_mi,Em cần ba bánh mì.
ban den nha,Bạn đến nhà.
thu_nam em dang mua_sam,Thứ năm em đang mua sắm.
buoi_toi em dang tam,Buổi tối em đang tắm.
ngay anh dang di_bo,Ngày anh đang đi bộ.
toi thich noi_com_dien,Tôi thích nồi cơm điện.
thay_giao dang choi,Thầy giáo đang chơi.
thu_tu con_trai dang viet,Thứ tư con trai đang viết.
thu_ba ong bi kho_tho,Thứ ba ông bị khó thở.
thu_hai benh_nhan dang ngu,Thứ hai bệnh nhân đang ngủ.
nam co dang viet,Năm cô đang viết.
co_giao can dong_ho khong,Cô giáo có cần đồng hồ không?
chu_nhat ban dang di_bo,Chủ nhật bạn đang đi bộ.
thu_nam toi noi,Thứ năm tôi nói.
nguoi_khiem_thinh can kinh_lup,Người khiếm thính cần kính lúp.
buoi_toi con_gai dang lam_viec,Buổi tối con gái đang làm việc.
nam anh hoc_bai,Năm anh học bài.
thu_ba toi bi sot,Thứ ba tôi bị sốt.
me muon di_nha_ve_sinh,Mẹ muốn đi nhà vệ sinh.
co_giao can bun,Cô giáo cần bún.
buoi_trua ba xem,Buổi trưa bà xem.
thu_ba me nghe,Thứ ba mẹ nghe.
nguoi_khiem_thinh can ba_lo khong,Người khiếm thính có cần ba lô không?
chung_toi den nha,Chúng tôi đến nhà.
thang toi doc_sach,Tháng tôi đọc sách.
con_gai dang lam_bai_tap,Con gái đang làm bài tập.
toi_nay chung_toi bi di_ung,Tối nay chúng tôi bị dị ứng.
thu_nam me hoc_bai,Thứ năm mẹ học bài.
thu_hai con_trai dang di_bo,Thứ hai con trai đang đi bộ.
toi muon nguoi_phien_dich,Tôi muốn người phiên dịch.
mua_dong toi viet,Mùa đông tôi viết.
thu_ba em lam_bai_tap,Thứ ba em làm bài tập.
chung_toi thich giup_do,Chúng tôi thích giúp đỡ.
thu_bay bo dang xem,Thứ bảy bố đang xem.
dien_thoai nong,Điện thoại nóng.
thu_ba co bi dau_chan,Thứ ba cô bị đau chân.
bay_gio con_gai dang ngu,Bây giờ con gái đang ngủ.
dien_thoai moi,Điện thoại mới.
hom_nay ba bi ho,Hôm nay bà bị ho.
ngay con_trai dang giat_do,Ngày con trai đang giặt đồ.
chung_toi di sieu_thi,Chúng tôi đi siêu thị.
chu_nhat me lam_bai_tap,Chủ nhật mẹ làm bài tập.
em di cong_vien,Em đi công viên.
bo can hai_muoi ban_phim,Bố cần hai mươi bàn phím.
co_giao thich dong_ho,Cô giáo thích đồng hồ.
thu_hai anh dang nghe,Thứ hai anh đang nghe.
toi mat sach,Tôi mất sách.
thu_bay co noi,Thứ bảy cô nói.
toi muon tam may_tinh,Tôi muốn tám máy tính.
buoi_toi chung_toi bi dau_hong,Buổi tối chúng tôi bị đau họng.
mua_dong me di_hoc,Mùa đông mẹ đi học.
nam chung_toi dang di_hoc,Năm chúng tôi đang đi học.
thay_giao den phong_kham,Thầy giáo đến phòng khám.
thang nguoi_khiem_thinh bi dau,Tháng người khiếm thính bị đau.
hom_qua me dang noi,Hôm qua mẹ đang nói.
anh muon nuoc_cam o benh_vien,Anh muốn nước cam ở bệnh viện.
thu_bay ban bi dau_bung,Thứ bảy bạn bị đau bụng.
hom_nay em lam_bai_tap,Hôm nay em làm bài tập.
buoi_chieu co dang mua_sam,Buổi chiều cô đang mua sắm.
toi_nay con_trai bi dau_lung,Tối nay con trai bị đau lưng.
nam ong dang uong,Năm ông đang uống.
chung_toi can sua khong,Chúng tôi có cần sữa không?
me can tam den,Mẹ cần tám đèn.
thu_hai toi dang mua_sam,Thứ hai tôi đang mua sắm.
em khong viet,Em không viết.
em bi dau_dau nen can com,Em bị đau đầu nên cần cơm.
buoi_sang con_trai dang di_hoc,Buổi sáng con trai đang đi học.
buoi_chieu nguoi_khiem_thinh dang tam,Buổi chiều người khiếm thính đang tắm.
chu_nhat bo dang rua_tay,Chủ nhật bố đang rửa tay.
bay_gio toi doc_sach,Bây giờ tôi đọc sách.
bay_gio con_trai dang noi,Bây giờ con trai đang nói.
thu_hai anh se di sieu_thi,Thứ hai anh sẽ đi siêu thị.
anh o truong,Anh ở trường.
me bi dau_lung nen can giup_do,Mẹ bị đau lưng nên cần giúp đỡ.
anh can bay bun,Anh cần bảy bún.
buoi_chieu con_gai dang choi,Buổi chiều con gái đang chơi.
thang con_gai bi met,Tháng con gái bị mệt.
toi_nay me dang rua_tay,Tối nay mẹ đang rửa tay.
anh can pho,Anh cần phở.
thay_giao muon com,Thầy giáo muốn cơm.
buoi_trua toi dang mua_sam,Buổi trưa tôi đang mua sắm.
anh den giuong,Anh đến giường.
ngay_mai me lam_bai_tap,Ngày mai mẹ làm bài tập.
buoi_chieu em dang hoc_bai,Buổi chiều em đang học bài.
ngay_mai ong bi buon_non,Ngày mai ông bị buồn nôn.
ba cam_thay met,Bà cảm thấy mệt.
thay_giao thich quan,Thầy giáo thích quần.
thang anh dang uong,Tháng anh đang uống.
ong muon mua ao,Ông muốn mua áo.
bay_gio ong dang nau_an,Bây giờ ông đang nấu ăn.
y_ta can goi_bac_si,Y tá cần gọi bác sĩ.
thu_bay con_gai bi sot,Thứ bảy con gái bị sốt.
bay_gio me lam_bai_tap,Bây giờ mẹ làm bài tập.
thu_nam thay_giao bi ho,Thứ năm thầy giáo bị ho.
thu_sau me nghi,Thứ sáu mẹ nghỉ.
anh muon mua tivi,Anh muốn mua ti vi.
ban muon di xe_dap,Bạn muốn đi xe đạp.
thu_nam me dang choi,Thứ năm mẹ đang chơi.
chi bi chong_mat nen can goi_y_ta,Chị bị chóng mặt nên cần gọi y tá.
bay_gio benh_nhan dang di_cho,Bây giờ bệnh nhân đang đi chợ.
mua_dong co_giao bi sot,Mùa đông cô giáo bị sốt.
ban kho,Bàn khó.
ao kho_rao,Áo khô ráo.
me thich tivi,Mẹ thích ti vi.
nguoi_khiem_thinh thich rau,Người khiếm thính thích rau.
nam co dang tam,Năm cô đang tắm.
anh o ghe,Anh ở ghế.
bo can cua khong,Bố có cần cửa không?
bo muon mot_tram vo,Bố muốn một trăm vở.
chi can mot chao,Chị cần một cháo.
thu_nam co_giao dang choi,Thứ năm cô giáo đang chơi.
bo muon hai nuoc,Bố muốn hai nước.
anh can sau banh_mi,Anh cần sáu bánh mì.
bay_gio toi xem,Bây giờ tôi xem.
thu_hai bo dang nghi,Thứ hai bố đang nghỉ.
mua_he ong bi dau_lung,Mùa hè ông bị đau lưng.
ngay_mai con_trai dang uong,Ngày mai con trai đang uống.
thu_sau chung_toi bi buon_non,Thứ sáu chúng tôi bị buồn nôn.
mua_dong thay_giao dang noi,Mùa đông thầy giáo đang nói.
chu_nhat me bi dau_dau,Chủ nhật mẹ bị đau đầu.
toi muon mot com,Tôi muốn một cơm.
thu_ba anh dang lam_bai_tap,Thứ ba anh đang làm bài tập.
thu_hai toi bi dau,Thứ hai tôi bị đau.
toi_nay ong dang chay,Tối nay ông đang chạy.
toi can chin vo,Tôi cần chín vở.
ong can sua khong,Ông có cần sữa không?
chi khong_thich trai_cay,Chị không thích trái cây.
ong can ban_phim,Ông cần bàn phím.
gia_dinh o truong,Gia đình ở trường.
toi_nay benh_nhan dang rua_tay,Tối nay bệnh nhân đang rửa tay.
mua_he ban bi dau_bung,Mùa hè bạn bị đau bụng.
buoi_chieu chi bi kho_tho,Buổi chiều chị bị khó thở.
chi muon di giuong,Chị muốn đi giường.
anh da giat_do,Anh đã giặt đồ.
buoi_toi me dang di_cho,Buổi tối mẹ đang đi chợ.
co muon noi_com_dien,Cô muốn nồi cơm điện.
buoi_trua ba bi di_ung,Buổi trưa bà bị dị ứng.
ba can banh_mi khong,Bà có cần bánh mì không?
con_trai o ban,Con trai ở bàn.
thu_ba con_trai dang an,Thứ ba con trai đang ăn.
thu_sau con_gai bi dau_chan,Thứ sáu con gái bị đau chân.
hom_nay toi dang xem,Hôm nay tôi đang xem.
ong khong ngu,Ông không ngủ.
thu_tu me noi,Thứ tư mẹ nói.
hom_nay ong bi dau_bung,Hôm nay ông bị đau bụng.
anh cam_thay dau_hong,Anh cảm thấy đau họng.
thu_nam bo lam_bai_tap,Thứ năm bố làm bài tập.
thay_giao thich mu,Thầy giáo thích mũ.
thu_hai benh_nhan dang doc_sach,Thứ hai bệnh nhân đang đọc sách.
thang co_giao bi dau_chan,Tháng cô giáo bị đau chân.
anh can tam chao,Anh cần tám cháo.
ban muon sua o benh_vien,Bạn muốn sữa ở bệnh viện.
chi di sieu_thi,Chị đi siêu thị.
toi_nay co bi dau_tay,Tối nay cô bị đau tay.
mua_dong thay_giao dang chay,Mùa đông thầy giáo đang chạy.
ong muon vo,Ông muốn vở.
anh cam_thay bi_thuong,Anh cảm thấy bị thương.
hom_nay thay_giao bi dau_hong,Hôm nay thầy giáo bị đau họng.
thu_sau toi dang xem,Thứ sáu tôi đang xem.
thu_hai co bi cam_lanh,Thứ hai cô bị cảm lạnh.
ong can di_nha_ve_sinh khong,Ông có cần đi nhà vệ sinh không?
me o ghe,Mẹ ở ghế.
ong bi dau_tay nen can thuc_an,Ông bị đau tay nên cần thức ăn.
bo di xe_may,Bố đi xe máy.
thu_ba benh_nhan dang lam_bai_tap,Thứ ba bệnh nhân đang làm bài tập.
thu_ba con_trai dang lam_viec,Thứ ba con trai đang làm việc.
thu_nam con_gai bi chong_mat,Thứ năm con gái bị chóng mặt.
ong can dia_chi,Ông cần địa chỉ.
mua_dong chi bi dau_tay,Mùa đông chị bị đau tay.
nam ong dang nghe,Năm ông đang nghe.
co_giao bi dau_dau nen can goi_bac_si,Cô giáo bị đau đầu nên cần gọi bác sĩ.
thang chi bi chay_mau,Tháng chị bị chảy máu.
mua_dong ong bi kho_tho,Mùa đông ông bị khó thở.
mua_dong ban dang di_hoc,Mùa đông bạn đang đi học.
toi can ao_khoac khong,Tôi có cần áo khoác không?
me can sau vo,Mẹ cần sáu vở.
toi_nay anh bi dau_bung,Tối nay anh bị đau bụng.
thu_nam me bi kho_tho,Thứ năm mẹ bị khó thở.
ngay_mai troi_lanh khong,Ngày mai có lạnh không?
con_trai can sua,Con trai cần sữa.
thu_bay em bi dau_tay,Thứ bảy em bị đau tay.
bo se hoc_bai,Bố sẽ học bài.
hom_nay benh_nhan dang lam_bai_tap,Hôm nay bệnh nhân đang làm bài tập.
ngay anh dang tap_the_duc,Ngày anh đang tập thể dục.
toi_nay me bi dau_chan,Tối nay mẹ bị đau chân.
bo can muoi but,Bố cần mười bút.
thu_ba anh bi met,Thứ ba anh bị mệt.
ngay_mai chung_toi dang di_cho,Ngày mai chúng tôi đang đi chợ.
ngay ong noi,Ngày ông nói.
buoi_chieu co dang rua_tay,Buổi chiều cô đang rửa tay.
chi muon thit o sieu_thi,Chị muốn thịt ở siêu thị.
ngay_mai benh_nhan dang di_cho,Ngày mai bệnh nhân đang đi chợ.
me muon den nha_ga,Mẹ muốn đến nhà ga.
em bi dau_bung can goi_bac_si,"Em bị đau bụng, cần gọi bác sĩ."
bo muon sua o phong_kham,Bố muốn sữa ở phòng khám.
nguoi_khiem_thinh di sieu_thi,Người khiếm thính đi siêu thị.
bay_gio ban dang rua_tay,Bây giờ bạn đang rửa tay.
thang benh_nhan dang nghi,Tháng bệnh nhân đang nghỉ.
em den cong_ty,Em đến công ty.
hom_nay co dang uong,Hôm nay cô đang uống.
toi can tivi,Tôi cần ti vi.
bay_gio ba dang giat_do,Bây giờ bà đang giặt đồ.
buoi_sang co bi kho_tho,Buổi sáng cô bị khó thở.
co di ban,Cô đi bàn.
ba khong muon goi_bac_si,Bà không muốn gọi bác sĩ.
buoi_trua con_trai dang nghe,Buổi trưa con trai đang nghe.
thu_tu ba dang rua_tay,Thứ tư bà đang rửa tay.
buoi_trua con_gai dang rua_tay,Buổi trưa con gái đang rửa tay.
thu_sau anh dang ngu,Thứ sáu anh đang ngủ.
thu_hai co_giao doc_sach,Thứ hai cô giáo đọc sách.
nam anh bi kho_tho,Năm anh bị khó thở.
mua_dong nguoi_khiem_thinh bi dau_chan,Mùa đông người khiếm thính bị đau chân.
co_giao can noi_com_dien,Cô giáo cần nồi cơm điện.
hom_nay co bi dau_chan,Hôm nay cô bị đau chân.
ong thich khau_trang,Ông thích khẩu trang.
mua_dong con_gai bi dau_bung,Mùa đông con gái bị đau bụng.
bay_gio nguoi_khiem_thinh dang an,Bây giờ người khiếm thính đang ăn.
chung_toi can ghe khong,Chúng tôi có cần ghế không?
buoi_chieu em dang nau_an,Buổi chiều em đang nấu ăn.
bay_gio ban se di sieu_thi,Bây giờ bạn sẽ đi siêu thị.
toi_nay bo dang nau_an,Tối nay bố đang nấu ăn.
ban bi sot nen can di_benh_vien,Bạn bị sốt nên cần đi bệnh viện.
thu_tu con_gai bi dau_dau,Thứ tư con gái bị đau đầu.
me muon chin dien_thoai,Mẹ muốn chín điện thoại.
ban muon muoi sach,Bạn muốn mười sách.
me muon mot nuoc,Mẹ muốn một nước.
den tot,Đèn tốt.
buoi_chieu co_giao an,Buổi chiều cô giáo ăn.
chi o sieu_thi,Chị ở siêu thị.
toi can nuoc_cam khong,Tôi có cần nước cam không?
ong muon ao,Ông muốn áo.
mua_dong ban bi di_ung,Mùa đông bạn bị dị ứng.
buoi_chieu em an,Buổi chiều em ăn.
bo muon nam vo,Bố muốn năm vở.
bo muon hai_muoi pho,Bố muốn hai mươi phở.
me muon den cong_ty,Mẹ muốn đến công ty.
nam anh dang nghi,Năm anh đang nghỉ.
mua_he anh an,Mùa hè anh ăn.
thu_nam bo dang nghe,Thứ năm bố đang nghe.
mu mau_trang,Mũ màu trắng.
co_giao di nha_ga,Cô giáo đi nhà ga.
bo muon chin pho,Bố muốn chín phở.
mua_dong me noi,Mùa đông mẹ nói.
co_giao thich chao,Cô giáo thích cháo.
bo bi chong_mat,Bố bị chóng mặt.
bo muon tra o benh_vien,Bố muốn trà ở bệnh viện.
chi thich quan,Chị thích quần.
hom_nay thay_giao hoc_bai,Hôm nay thầy giáo học bài.
chu_nhat chi dang chay,Chủ nhật chị đang chạy.
